[Name],,,,,
x-coordinate-3,,,,,
,,,,,
[Data],,,,,
x,y,x-velocity,y-velocity,turb-kinetic-energy,specific-diss-rate
-0.050799999,4.21E-06,0.74496424,-5.13E-06,0.002301704,25818140
-0.050799999,1.39E-05,2.4491992,-1.08E-05,0.03002746,5822928
-0.050799999,2.63E-05,4.6385317,-4.46E-05,0.19982524,1953208.8
-0.050799999,4.24E-05,7.3754892,-9.91E-05,0.85959083,869618.38
-0.050799999,6.31E-05,10.466538,-0.000205058,2.4533296,484260.41
-0.050799999,8.98E-05,13.446587,-0.000374891,4.4589515,300536
-0.050799999,0.000124311,16.028458,-0.000618774,5.9901905,193911.8
-0.050799999,0.000168766,18.224609,-0.000964737,7.0092359,128598.09
-0.050799999,0.000226078,20.106812,-0.001437299,7.6463804,87668.563
-0.050799999,0.000299941,21.764984,-0.002060725,8.0463657,61390.086
-0.050799999,0.000395101,23.270109,-0.002888499,8.3035679,43933.188
-0.050799999,0.000517637,24.663654,-0.003960692,8.4598351,31991.375
-0.050799999,0.000675326,25.975218,-0.005340307,8.5440331,23630.73
-0.050799999,0.000878086,27.226322,-0.007095748,8.5727901,17666.143
-0.050799999,0.001138531,28.433208,-0.009308658,8.5547867,13346.566
-0.050799999,0.001472621,29.608757,-0.012072708,8.4930649,10181.381
-0.050799999,0.001900446,30.763905,-0.01549166,8.3863277,7841.6846
-0.050799999,0.002447101,31.908747,-0.019692661,8.2294598,6102.2871
-0.050799999,0.003143634,33.053741,-0.024783177,8.0137749,4806.7383
-0.050799999,0.00402797,34.211174,-0.030953173,7.7270679,3845.9009
-0.050799999,0.005145669,35.397713,-0.038190849,7.3536654,3145.3667
-0.050799999,0.006550255,36.639442,-0.046836291,6.8753381,2660.6094
-0.050799999,0.008302746,37.984657,-0.056370467,6.2775049,2384.6245
-0.050799999,0.010469869,39.554115,-0.066452086,5.4723082,2326.2451
-0.050799999,0.013120359,41.592415,-0.072430007,3.9450233,2396.4871
-0.050799999,0.016318768,43.944214,-0.074823029,0.40523118,1277.1544
-0.050799999,0.020116508,44.225994,-0.09615685,0.006969969,329.19748
-0.050799999,0.024540512,44.199619,-0.11359668,0.00350541,315.86029
-0.050799999,0.029581016,44.175346,-0.13642392,0.003500301,316.27271
-0.050799999,0.035181172,44.147911,-0.15201616,0.003501138,316.26743
-0.050799999,0.041232105,44.117359,-0.1684339,0.003500987,316.26001
-0.050799999,0.047576685,44.085754,-0.17594928,0.003500805,316.24942
-0.050799999,0.054023318,44.055046,-0.18215352,0.00350064,316.24094
-0.050799999,0.060367893,44.026695,-0.17993274,0.003500514,316.23334
-0.050799999,0.066418827,44.002068,-0.17753083,0.003500323,316.22791
-0.050799999,0.072018981,43.981548,-0.16893932,0.003498839,316.15887
-0.050799999,0.077059492,43.965694,-0.16239829,0.003523992,315.77032
-0.050799999,0.081483491,43.947651,-0.15175694,0.010450919,344.05212
-0.050799999,0.085281231,43.564804,-0.1403483,0.51462179,1373.1813
-0.050799999,0.088479638,41.138996,-0.10434067,4.0985866,2393.0493
-0.050799999,0.091130137,39.09346,-0.079075471,5.5468779,2328.0117
-0.050799999,0.093297258,37.51667,-0.061028019,6.3363485,2395.7009
-0.050799999,0.095049739,36.159382,-0.048283536,6.9281588,2684.7642
-0.050799999,0.09645433,34.901947,-0.038014829,7.4030662,3181.7866
-0.050799999,0.097572029,33.698303,-0.029924357,7.7730465,3895.6184
-0.050799999,0.098456368,32.52317,-0.023447502,8.0561161,4871.4004
-0.050799999,0.0991529,31.360579,-0.018273789,8.2669411,6182.7598
-0.050799999,0.099699557,30.199043,-0.014147414,8.416503,7936.6763
-0.050799999,0.10012738,29.029083,-0.010867078,8.5123777,10285.648
-0.050799999,0.10046147,27.841492,-0.008272067,8.5588732,13448.891
-0.050799999,0.10072191,26.626369,-0.006233618,8.5571823,17746.172
-0.050799999,0.10092467,25.37149,-0.004642471,8.5044327,23655.885
-0.050799999,0.10108237,24.061291,-0.003412914,8.3927889,31911.473
-0.050799999,0.1012049,22.674637,-0.002468928,8.2068386,43673.285
-0.050799999,0.10130006,21.182285,-0.001756352,7.9193587,60838.258
-0.050799999,0.10137393,19.542892,-0.001217148,7.4891434,86648.719
-0.050799999,0.10143124,17.688316,-0.000819325,6.8274779,126808.9
-0.050799999,0.10147569,15.530446,-0.000531433,5.794548,190945.91
-0.050799999,0.10151017,12.999432,-0.000322277,4.2723503,295945.56
-0.050799999,0.1015369,10.086046,-0.000172103,2.3124099,477855
-0.050799999,0.10155762,7.0849366,-8.06E-05,0.80005354,862786.88
-0.050799999,0.10157369,4.4469643,-3.47E-05,0.18530154,1948011.5
-0.050799999,0.10158613,2.3449035,-1.12E-05,0.027846079,5816198
-0.050799999,0.10159579,0.71342188,-6.74E-06,0.002141822,25748836
